location,date,total_cases,total_deaths
Brazil,2022/6/10,1,0
Brazil,2022/6/11,1,0
Brazil,2022/6/12,1,0
Brazil,2022/6/13,2,0
Brazil,2022/6/14,3,0
Brazil,2022/6/15,3,0
Brazil,2022/6/16,5,0
Brazil,2022/6/17,6,0
Brazil,2022/6/18,7,0
Brazil,2022/6/19,7,0
Brazil,2022/6/20,8,0
Brazil,2022/6/21,8,0
Brazil,2022/6/22,9,0
Brazil,2022/6/23,11,0
Brazil,2022/6/24,11,0
Brazil,2022/6/25,17,0
Brazil,2022/6/26,19,0
Brazil,2022/6/27,20,0
Brazil,2022/6/28,20,0
Brazil,2022/6/29,20,0
Brazil,2022/6/30,36,0
Brazil,2022/7/1,38,0
Brazil,2022/7/2,58,0
Brazil,2022/7/3,63,0
Brazil,2022/7/4,75,0
Brazil,2022/7/5,78,0
Brazil,2022/7/6,78,0
Brazil,2022/7/7,106,0
Brazil,2022/7/8,142,0
Brazil,2022/7/9,205,0
Brazil,2022/7/10,205,0
Brazil,2022/7/11,218,0
Brazil,2022/7/12,219,0
Brazil,2022/7/13,219,0
Brazil,2022/7/14,228,0
Brazil,2022/7/15,310,0
Brazil,2022/7/16,310,0
Brazil,2022/7/17,384,0
Brazil,2022/7/18,384,0
Brazil,2022/7/19,384,0
Brazil,2022/7/20,384,0
Brazil,2022/7/21,384,0
Brazil,2022/7/22,592,0
Brazil,2022/7/23,592,0
Brazil,2022/7/24,592,0
Brazil,2022/7/25,592,0
Brazil,2022/7/26,696,0
Brazil,2022/7/27,696,0
Brazil,2022/7/28,696,0
Brazil,2022/7/29,978,0
Brazil,2022/7/30,978,0
Brazil,2022/7/31,978,0
Brazil,2022/8/1,978,0
Brazil,2022/8/2,1369,1
Brazil,2022/8/3,1474,1
Brazil,2022/8/4,1474,1
Brazil,2022/8/5,1474,1
Brazil,2022/8/6,1721,1
Brazil,2022/8/7,1721,1
Brazil,2022/8/8,1721,1
Brazil,2022/8/9,2131,1
Brazil,2022/8/10,2293,1
Brazil,2022/8/11,2415,1
Brazil,2022/8/12,2458,1
Brazil,2022/8/13,2584,1
Brazil,2022/8/14,2584,1
Brazil,2022/8/15,2849,1
Brazil,2022/8/16,2893,1
Brazil,2022/8/17,2985,1
Brazil,2022/8/18,3184,1
Brazil,2022/8/19,3359,1
Brazil,2022/8/20,3450,1
Brazil,2022/8/21,3450,1
Brazil,2022/8/22,3450,1
Brazil,2022/8/23,3788,1
Brazil,2022/8/24,3896,1
Brazil,2022/8/25,3984,1
Brazil,2022/8/26,3984,1
Brazil,2022/8/27,4216,1
Brazil,2022/8/28,4472,1
Brazil,2022/8/29,4472,1
Brazil,2022/8/30,4493,1
Brazil,2022/8/31,4693,1
Brazil,2022/9/1,4876,1
Brazil,2022/9/2,5037,2
Brazil,2022/9/3,5197,2
Brazil,2022/9/4,5197,2
Brazil,2022/9/5,5197,2
Brazil,2022/9/6,5409,2
Brazil,2022/9/7,5525,2
Brazil,2022/9/8,5692,2
Brazil,2022/9/9,5726,2
Brazil,2022/9/10,5726,2
Brazil,2022/9/11,5971,2
Brazil,2022/9/12,6033,2
Brazil,2022/9/13,6033,2
Brazil,2022/9/14,6129,2
Brazil,2022/9/15,6246,2
Brazil,2022/9/16,6448,2
Brazil,2022/9/17,6649,2
Brazil,2022/9/18,6807,2
Brazil,2022/9/19,6869,2
Brazil,2022/9/20,6869,2
Brazil,2022/9/21,7019,2
Brazil,2022/9/22,7115,2
Brazil,2022/9/23,7205,2
Brazil,2022/9/24,7300,2
Brazil,2022/9/25,7418,2
Brazil,2022/9/26,7445,2
Brazil,2022/9/27,7445,2
Brazil,2022/9/28,7534,2
Brazil,2022/9/29,7624,2
Brazil,2022/9/30,7687,2
Brazil,2022/10/1,7804,2
Brazil,2022/10/2,7869,2
Brazil,2022/10/3,7869,2
Brazil,2022/10/4,7869,2
Brazil,2022/10/5,8029,3
Brazil,2022/10/6,8147,3
Brazil,2022/10/7,8207,3
Brazil,2022/10/8,8270,3
Brazil,2022/10/9,8340,3
Brazil,2022/10/10,8340,3
Brazil,2022/10/11,8340,4
Brazil,2022/10/12,8461,5
Brazil,2022/10/13,8521,5
Brazil,2022/10/14,8543,6
Brazil,2022/10/15,8621,6
Brazil,2022/10/16,8652,6
Brazil,2022/10/17,8652,7
Brazil,2022/10/18,8652,7
Brazil,2022/10/19,8725,7
Brazil,2022/10/20,8778,7
Brazil,2022/10/21,8860,7
Brazil,2022/10/22,8890,7
Brazil,2022/10/23,8978,7
Brazil,2022/10/24,8978,7
Brazil,2022/10/25,8978,7
Brazil,2022/10/26,9026,8
Brazil,2022/10/27,9045,8
Brazil,2022/10/28,9070,8
Brazil,2022/10/29,9162,8
Brazil,2022/10/30,9183,8
Brazil,2022/10/31,9183,8
Canada,2022/6/3,57,0
Canada,2022/6/4,77,0
Canada,2022/6/5,77,0
Canada,2022/6/6,77,0
Canada,2022/6/7,77,0
Canada,2022/6/8,81,0
Canada,2022/6/9,101,0
Canada,2022/6/10,110,0
Canada,2022/6/11,112,0
Canada,2022/6/12,112,0
Canada,2022/6/13,112,0
Canada,2022/6/14,112,0
Canada,2022/6/15,154,0
Canada,2022/6/16,159,0
Canada,2022/6/17,168,0
Canada,2022/6/18,169,0
Canada,2022/6/19,177,0
Canada,2022/6/20,177,0
Canada,2022/6/21,177,0
Canada,2022/6/22,180,0
Canada,2022/6/23,211,0
Canada,2022/6/24,224,0
Canada,2022/6/25,235,0
Canada,2022/6/26,235,0
Canada,2022/6/27,235,0
Canada,2022/6/28,236,0
Canada,2022/6/29,275,0
Canada,2022/6/30,278,0
Canada,2022/7/1,287,0
Canada,2022/7/2,287,0
Canada,2022/7/3,287,0
Canada,2022/7/4,287,0
Canada,2022/7/5,300,0
Canada,2022/7/6,358,0
Canada,2022/7/7,358,0
Canada,2022/7/8,370,0
Canada,2022/7/9,375,0
Canada,2022/7/10,375,0
Canada,2022/7/11,375,0
Canada,2022/7/12,375,0
Canada,2022/7/13,477,0
Canada,2022/7/14,477,0
Canada,2022/7/15,492,0
Canada,2022/7/16,539,0
Canada,2022/7/17,539,0
Canada,2022/7/18,539,0
Canada,2022/7/19,539,0
Canada,2022/7/20,604,0
Canada,2022/7/21,604,0
Canada,2022/7/22,615,0
Canada,2022/7/23,681,0
Canada,2022/7/24,681,0
Canada,2022/7/25,681,0
Canada,2022/7/26,681,0
Canada,2022/7/27,744,0
Canada,2022/7/28,745,0
Canada,2022/7/29,761,0
Canada,2022/7/30,803,0
Canada,2022/7/31,803,0
Canada,2022/8/1,803,0
Canada,2022/8/2,803,0
Canada,2022/8/3,803,0
Canada,2022/8/4,890,0
Canada,2022/8/5,890,0
Canada,2022/8/6,957,0
Canada,2022/8/7,957,0
Canada,2022/8/8,957,0
Canada,2022/8/9,957,0
Canada,2022/8/10,990,0
Canada,2022/8/11,1008,0
Canada,2022/8/12,1012,0
Canada,2022/8/13,1059,0
Canada,2022/8/14,1059,0
Canada,2022/8/15,1059,0
Canada,2022/8/16,1059,0
Canada,2022/8/17,1059,0
Canada,2022/8/18,1091,0
Canada,2022/8/19,1112,0
Canada,2022/8/20,1168,0
Canada,2022/8/21,1168,0
Canada,2022/8/22,1168,0
Canada,2022/8/23,1168,0
Canada,2022/8/24,1168,0
Canada,2022/8/25,1206,0
Canada,2022/8/26,1206,0
Canada,2022/8/27,1228,0
Canada,2022/8/28,1228,0
Canada,2022/8/29,1228,0
Canada,2022/8/30,1228,0
Canada,2022/8/31,1228,0
Canada,2022/9/1,1228,0
Canada,2022/9/2,1251,0
Canada,2022/9/3,1289,0
Canada,2022/9/4,1289,0
Canada,2022/9/5,1289,0
Canada,2022/9/6,1289,0
Canada,2022/9/7,1289,0
Canada,2022/9/8,1317,0
Canada,2022/9/9,1317,0
Canada,2022/9/10,1321,0
Canada,2022/9/11,1321,0
Canada,2022/9/12,1321,0
Canada,2022/9/13,1321,0
Canada,2022/9/14,1321,0
Canada,2022/9/15,1338,0
Canada,2022/9/16,1338,0
Canada,2022/9/17,1363,0
Canada,2022/9/18,1363,0
Canada,2022/9/19,1363,0
Canada,2022/9/20,1363,0
Canada,2022/9/21,1363,0
Canada,2022/9/22,1379,0
Canada,2022/9/23,1379,0
Canada,2022/9/24,1389,0
Canada,2022/9/25,1389,0
Canada,2022/9/26,1389,0
Canada,2022/9/27,1389,0
Canada,2022/9/28,1389,0
Canada,2022/9/29,1396,0
Canada,2022/9/30,1396,0
Canada,2022/10/1,1396,0
Canada,2022/10/2,1396,0
Canada,2022/10/3,1396,0
Canada,2022/10/4,1400,0
Canada,2022/10/5,1400,0
Canada,2022/10/6,1400,0
Canada,2022/10/7,1406,0
Canada,2022/10/8,1410,0
Canada,2022/10/9,1410,0
Canada,2022/10/10,1410,0
Canada,2022/10/11,1410,0
Canada,2022/10/12,1410,0
Canada,2022/10/13,1410,0
Canada,2022/10/14,1410,0
Canada,2022/10/15,1410,0
Canada,2022/10/16,1410,0
Canada,2022/10/17,1410,0
Canada,2022/10/18,1410,0
Canada,2022/10/19,1410,0
Canada,2022/10/20,1410,0
Canada,2022/10/21,1410,0
Canada,2022/10/22,1435,0
Canada,2022/10/23,1435,0
Canada,2022/10/24,1435,0
Canada,2022/10/25,1435,0
Canada,2022/10/26,1435,0
Canada,2022/10/27,1435,0
Canada,2022/10/28,1435,0
Canada,2022/10/29,1435,0
Canada,2022/10/30,1435,0
Canada,2022/10/31,1435,0
Colombia,2022/6/25,3,0
Colombia,2022/6/26,3,0
Colombia,2022/6/27,3,0
Colombia,2022/6/28,3,0
Colombia,2022/6/29,3,0
Colombia,2022/6/30,3,0
Colombia,2022/7/1,3,0
Colombia,2022/7/2,3,0
Colombia,2022/7/3,5,0
Colombia,2022/7/4,5,0
Colombia,2022/7/5,5,0
Colombia,2022/7/6,5,0
Colombia,2022/7/7,5,0
Colombia,2022/7/8,5,0
Colombia,2022/7/9,6,0
Colombia,2022/7/10,6,0
Colombia,2022/7/11,6,0
Colombia,2022/7/12,6,0
Colombia,2022/7/13,7,0
Colombia,2022/7/14,7,0
Colombia,2022/7/15,7,0
Colombia,2022/7/16,7,0
Colombia,2022/7/17,7,0
Colombia,2022/7/18,7,0
Colombia,2022/7/19,7,0
Colombia,2022/7/20,7,0
Colombia,2022/7/21,10,0
Colombia,2022/7/22,10,0
Colombia,2022/7/23,10,0
Colombia,2022/7/24,12,0
Colombia,2022/7/25,12,0
Colombia,2022/7/26,12,0
Colombia,2022/7/27,12,0
Colombia,2022/7/28,12,0
Colombia,2022/7/29,12,0
Colombia,2022/7/30,12,0
Colombia,2022/7/31,12,0
Colombia,2022/8/1,16,0
