date,Brazil,Canada,Colombia,France,Germany,Mexico,Peru,Spain,England,United States
2022/5/7,0,0,0,0,0,0,0,0,1,0
2022/5/8,0,0,0,0,0,0,0,0,0,0
2022/5/9,0,0,0,0,0,0,0,0,0,0
2022/5/10,0,0,0,0,0,0,0,0,0,0
2022/5/11,0,0,0,0,0,0,0,0,0,0
2022/5/12,0,0,0,0,0,0,0,0,0,0
2022/5/13,0,0,0,0,0,0,0,0,0,0
2022/5/14,0,0,0,0,0,0,0,0,2,0
2022/5/15,0,0,0,0,0,0,0,0,0,0
2022/5/16,0,0,0,0,0,0,0,0,4,0
2022/5/17,0,0,0,0,0,0,0,0,0,0
2022/5/18,0,0,0,0,0,0,0,0,2,0
2022/5/19,0,0,0,0,0,0,0,7,0,0
2022/5/20,0,0,0,1,1,0,0,16,11,0
2022/5/21,0,0,0,0,0,0,0,0,9,0
2022/5/22,0,0,0,0,2,0,0,17,0,0
2022/5/23,0,0,0,0,1,0,0,0,27,0
2022/5/24,0,0,0,2,2,0,0,0,15,0
2022/5/25,0,0,0,2,4,0,0,0,0,0
2022/5/26,0,0,0,2,0,0,0,0,19,0
2022/5/27,0,0,0,0,5,0,0,0,16,0
2022/5/28,0,0,0,0,0,0,0,0,0,0
2022/5/29,0,0,0,0,0,0,0,0,0,0
2022/5/30,0,0,0,9,6,0,0,58,73,0
2022/5/31,0,0,0,1,12,0,0,0,11,0
2022/6/1,0,0,0,0,11,0,0,44,6,0
2022/6/2,0,0,0,16,13,0,0,14,11,0
2022/6/3,0,57,0,0,8,1,0,30,18,19
2022/6/4,0,20,0,18,0,0,0,0,0,2
2022/6/5,0,0,0,0,0,0,0,0,0,4
2022/6/6,0,0,0,0,0,0,0,0,77,0
2022/6/7,0,0,0,15,15,0,0,12,0,0
2022/6/8,0,4,0,0,33,0,0,0,19,7
2022/6/9,0,20,0,0,18,0,0,0,0,5
2022/6/10,1,9,0,25,34,0,0,61,45,3
2022/6/11,0,2,0,0,0,0,0,0,0,9
2022/6/12,0,0,0,0,0,0,0,0,0,0
2022/6/13,1,0,0,0,24,1,0,16,104,2
2022/6/14,1,0,0,34,40,0,0,38,0,14
2022/6/15,0,42,0,0,34,2,0,0,54,0
2022/6/16,2,5,0,58,42,0,0,0,0,7
2022/6/17,1,9,0,0,33,2,0,184,50,12
2022/6/18,1,1,0,0,0,3,0,0,0,16
2022/6/19,0,8,0,0,0,1,0,0,0,13
2022/6/20,1,0,0,0,74,1,0,0,219,0
2022/6/21,0,0,0,94,57,0,0,23,0,0
2022/6/22,1,3,0,0,52,0,0,0,0,0
2022/6/23,2,31,0,53,71,0,0,0,117,29
2022/6/24,0,13,0,0,84,0,0,216,0,31
2022/6/25,6,11,3,0,0,0,0,0,0,2
2022/6/26,2,0,0,0,0,0,0,0,0,24
2022/6/27,1,0,0,0,89,4,0,0,0,0
2022/6/28,0,1,0,110,73,0,1,64,166,2
2022/6/29,0,39,0,0,36,0,2,0,0,43
2022/6/30,16,3,0,58,95,0,0,0,159,62
2022/7/1,2,9,0,0,85,0,0,0,0,45
