location,date,new_cases,new_deaths
Brazil,2022/6/10,1,0
Brazil,2022/6/11,0,0
Brazil,2022/6/12,0,0
Brazil,2022/6/13,1,0
Brazil,2022/6/14,1,0
Brazil,2022/6/15,0,0
Brazil,2022/6/16,2,0
Brazil,2022/6/17,1,0
Brazil,2022/6/18,1,0
Brazil,2022/6/19,0,0
Brazil,2022/6/20,1,0
Brazil,2022/6/21,0,0
Brazil,2022/6/22,1,0
Brazil,2022/6/23,2,0
Brazil,2022/6/24,0,0
Brazil,2022/6/25,6,0
Brazil,2022/6/26,2,0
Brazil,2022/6/27,1,0
Brazil,2022/6/28,0,0
Brazil,2022/6/29,0,0
Brazil,2022/6/30,16,0
Brazil,2022/7/1,2,0
Brazil,2022/7/2,20,0
Brazil,2022/7/3,5,0
Brazil,2022/7/4,12,0
Brazil,2022/7/5,3,0
Brazil,2022/7/6,0,0
Brazil,2022/7/7,28,0
Brazil,2022/7/8,36,0
Brazil,2022/7/9,63,0
Brazil,2022/7/10,0,0
Brazil,2022/7/11,13,0
Brazil,2022/7/12,1,0
Brazil,2022/7/13,0,0
Brazil,2022/7/14,9,0
Brazil,2022/7/15,82,0
Brazil,2022/7/16,0,0
Brazil,2022/7/17,74,0
Brazil,2022/7/18,0,0
Brazil,2022/7/19,0,0
Brazil,2022/7/20,0,0
Brazil,2022/7/21,0,0
Brazil,2022/7/22,208,0
Brazil,2022/7/23,0,0
Brazil,2022/7/24,0,0
Brazil,2022/7/25,0,0
Brazil,2022/7/26,104,0
Brazil,2022/7/27,0,0
Brazil,2022/7/28,0,0
Brazil,2022/7/29,282,0
Brazil,2022/7/30,0,0
Brazil,2022/7/31,0,0
Brazil,2022/8/1,0,0
Brazil,2022/8/2,391,1
Brazil,2022/8/3,105,0
Brazil,2022/8/4,0,0
Brazil,2022/8/5,0,0
Brazil,2022/8/6,247,0
Brazil,2022/8/7,0,0
Brazil,2022/8/8,0,0
Brazil,2022/8/9,410,0
Brazil,2022/8/10,162,0
Brazil,2022/8/11,122,0
Brazil,2022/8/12,43,0
Brazil,2022/8/13,126,0
Brazil,2022/8/14,0,0
Brazil,2022/8/15,265,0
Brazil,2022/8/16,44,0
Brazil,2022/8/17,92,0
Brazil,2022/8/18,199,0
Brazil,2022/8/19,175,0
Brazil,2022/8/20,91,0
Brazil,2022/8/21,0,0
Brazil,2022/8/22,0,0
Brazil,2022/8/23,338,0
Brazil,2022/8/24,108,0
Brazil,2022/8/25,88,0
Brazil,2022/8/26,0,0
Brazil,2022/8/27,232,0
Brazil,2022/8/28,256,0
Brazil,2022/8/29,0,0
Brazil,2022/8/30,21,0
Brazil,2022/8/31,200,0
Brazil,2022/9/1,183,0
Brazil,2022/9/2,161,1
Brazil,2022/9/3,160,0
Brazil,2022/9/4,0,0
Brazil,2022/9/5,0,0
Brazil,2022/9/6,212,0
Brazil,2022/9/7,116,0
Brazil,2022/9/8,167,0
Brazil,2022/9/9,34,0
Brazil,2022/9/10,0,0
Brazil,2022/9/11,245,0
Brazil,2022/9/12,62,0
Brazil,2022/9/13,0,0
Brazil,2022/9/14,96,0
Brazil,2022/9/15,117,0
Brazil,2022/9/16,202,0
Brazil,2022/9/17,201,0
Brazil,2022/9/18,158,0
Brazil,2022/9/19,62,0
Brazil,2022/9/20,0,0
Brazil,2022/9/21,150,0
Brazil,2022/9/22,96,0
Brazil,2022/9/23,90,0
Brazil,2022/9/24,95,0
Brazil,2022/9/25,118,0
Brazil,2022/9/26,27,0
Brazil,2022/9/27,0,0
Brazil,2022/9/28,89,0
Brazil,2022/9/29,90,0
Brazil,2022/9/30,63,0
Brazil,2022/10/1,117,0
Brazil,2022/10/2,65,0
Brazil,2022/10/3,0,0
Brazil,2022/10/4,0,0
Brazil,2022/10/5,160,1
Brazil,2022/10/6,118,0
Brazil,2022/10/7,60,0
Brazil,2022/10/8,63,0
Brazil,2022/10/9,70,0
Brazil,2022/10/10,0,0
Brazil,2022/10/11,0,1
Brazil,2022/10/12,121,1
Brazil,2022/10/13,60,0
Brazil,2022/10/14,22,1
Brazil,2022/10/15,78,0
Brazil,2022/10/16,31,0
Brazil,2022/10/17,0,1
Brazil,2022/10/18,0,0
Brazil,2022/10/19,73,0
Brazil,2022/10/20,53,0
Brazil,2022/10/21,82,0
Brazil,2022/10/22,30,0
Brazil,2022/10/23,88,0
Brazil,2022/10/24,0,0
Brazil,2022/10/25,0,0
Brazil,2022/10/26,48,1
Brazil,2022/10/27,19,0
Brazil,2022/10/28,25,0
Brazil,2022/10/29,92,0
Brazil,2022/10/30,21,0
Brazil,2022/10/31,0,0
Canada,2022/6/3,57,0
Canada,2022/6/4,20,0
Canada,2022/6/5,0,0
Canada,2022/6/6,0,0
Canada,2022/6/7,0,0
Canada,2022/6/8,4,0
Canada,2022/6/9,20,0
Canada,2022/6/10,9,0
Canada,2022/6/11,2,0
Canada,2022/6/12,0,0
Canada,2022/6/13,0,0
Canada,2022/6/14,0,0
Canada,2022/6/15,42,0
Canada,2022/6/16,5,0
Canada,2022/6/17,9,0
Canada,2022/6/18,1,0
Canada,2022/6/19,8,0
Canada,2022/6/20,0,0
Canada,2022/6/21,0,0
Canada,2022/6/22,3,0
Canada,2022/6/23,31,0
Canada,2022/6/24,13,0
Canada,2022/6/25,11,0
Canada,2022/6/26,0,0
Canada,2022/6/27,0,0
Canada,2022/6/28,1,0
Canada,2022/6/29,39,0
Canada,2022/6/30,3,0
Canada,2022/7/1,9,0
Canada,2022/7/2,0,0
Canada,2022/7/3,0,0
Canada,2022/7/4,0,0
Canada,2022/7/5,13,0
Canada,2022/7/6,58,0
Canada,2022/7/7,0,0
Canada,2022/7/8,12,0
Canada,2022/7/9,5,0
Canada,2022/7/10,0,0
Canada,2022/7/11,0,0
Canada,2022/7/12,0,0
Canada,2022/7/13,102,0
Canada,2022/7/14,0,0
Canada,2022/7/15,15,0
Canada,2022/7/16,47,0
Canada,2022/7/17,0,0
Canada,2022/7/18,0,0
Canada,2022/7/19,0,0
Canada,2022/7/20,65,0
Canada,2022/7/21,0,0
Canada,2022/7/22,11,0
Canada,2022/7/23,66,0
Canada,2022/7/24,0,0
Canada,2022/7/25,0,0
Canada,2022/7/26,0,0
Canada,2022/7/27,63,0
Canada,2022/7/28,1,0
Canada,2022/7/29,16,0
Canada,2022/7/30,42,0
Canada,2022/7/31,0,0
Canada,2022/8/1,0,0
Canada,2022/8/2,0,0
Canada,2022/8/3,0,0
Canada,2022/8/4,87,0
Canada,2022/8/5,0,0
Canada,2022/8/6,67,0
Canada,2022/8/7,0,0
Canada,2022/8/8,0,0
Canada,2022/8/9,0,0
Canada,2022/8/10,33,0
Canada,2022/8/11,18,0
Canada,2022/8/12,4,0
Canada,2022/8/13,47,0
Canada,2022/8/14,0,0
Canada,2022/8/15,0,0
Canada,2022/8/16,0,0
Canada,2022/8/17,0,0
Canada,2022/8/18,32,0
Canada,2022/8/19,21,0
Canada,2022/8/20,56,0
Canada,2022/8/21,0,0
Canada,2022/8/22,0,0
Canada,2022/8/23,0,0
Canada,2022/8/24,0,0
Canada,2022/8/25,38,0
Canada,2022/8/26,0,0
Canada,2022/8/27,22,0
Canada,2022/8/28,0,0
Canada,2022/8/29,0,0
Canada,2022/8/30,0,0
Canada,2022/8/31,0,0
Canada,2022/9/1,0,0
Canada,2022/9/2,23,0
Canada,2022/9/3,38,0
Canada,2022/9/4,0,0
